,avgOdds,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
0,1.276,70,45,45,70,65,40,50,40
1,1.276,65,40,65,65,70,45,45,65
2,1.276,46,54,46,60,55,40,50,56
3,1.276,46,38,46,68,37,49,49,56
4,1.276,46,54,49,72,56,42,41,56
5,1.276,38,44,49,44,40,54,53,56
6,1.2,70,45,45,70,65,40,50,40
7,1.2,65,40,65,65,70,45,45,65
8,1.2,46,54,46,60,55,40,50,56
9,1.2,46,38,46,68,37,49,49,56
10,1.2,46,54,49,72,56,42,41,56
11,1.2,38,44,49,44,40,54,53,56
12,1.176,70,45,45,70,65,40,50,40
13,1.176,65,40,65,65,70,45,45,65
14,1.176,46,54,46,60,55,40,50,56
15,1.176,46,38,46,68,37,49,49,56
16,1.176,46,54,49,72,56,42,41,56
17,1.176,38,44,49,44,40,54,53,56
18,1.142,70,45,45,70,65,40,50,40
19,1.142,65,40,65,65,70,45,45,65
20,1.142,46,54,46,60,55,40,50,56
21,1.142,46,38,46,68,37,49,49,56
22,1.142,46,54,49,72,56,42,41,56
23,1.142,38,44,49,44,40,54,53,56
24,1.166,70,45,45,70,65,40,50,40
25,1.166,65,40,65,65,70,45,45,65
26,1.166,46,54,46,60,55,40,50,56
27,1.166,46,38,46,68,37,49,49,56
28,1.166,46,54,49,72,56,42,41,56
29,1.166,38,44,49,44,40,54,53,56
30,1.208,70,45,45,70,65,40,50,40
31,1.208,65,40,65,65,70,45,45,65
32,1.208,46,54,46,60,55,40,50,56
33,1.208,46,38,46,68,37,49,49,56
34,1.208,46,54,49,72,56,42,41,56
35,1.208,38,44,49,44,40,54,53,56
36,1.202,70,45,45,70,65,40,50,40
37,1.202,65,40,65,65,70,45,45,65
38,1.202,46,54,46,60,55,40,50,56
39,1.202,46,38,46,68,37,49,49,56
40,1.202,46,54,49,72,56,42,41,56
41,1.202,38,44,49,44,40,54,53,56
42,2.1800000000000006,70,45,45,70,65,40,50,40
43,2.1800000000000006,65,40,65,65,70,45,45,65
44,2.1800000000000006,46,54,46,60,55,40,50,56
45,2.1800000000000006,46,38,46,68,37,49,49,56
46,2.1800000000000006,46,54,49,72,56,42,41,56
47,2.1800000000000006,38,44,49,44,40,54,53,56
48,1.3540000000000003,70,45,45,70,65,40,50,40
49,1.3540000000000003,65,40,65,65,70,45,45,65
50,1.3540000000000003,46,54,46,60,55,40,50,56
51,1.3540000000000003,46,38,46,68,37,49,49,56
52,1.3540000000000003,46,54,49,72,56,42,41,56
53,1.3540000000000003,38,44,49,44,40,54,53,56
54,1.244,70,45,45,70,65,40,50,40
55,1.244,65,40,65,65,70,45,45,65
56,1.244,46,54,46,60,55,40,50,56
57,1.244,46,38,46,68,37,49,49,56
58,1.244,46,54,49,72,56,42,41,56
59,1.244,38,44,49,44,40,54,53,56
60,1.238,70,45,45,70,65,40,50,40
61,1.238,65,40,65,65,70,45,45,65
62,1.238,46,54,46,60,55,40,50,56
63,1.238,46,38,46,68,37,49,49,56
64,1.238,46,54,49,72,56,42,41,56
65,1.238,38,44,49,44,40,54,53,56
66,1.864,70,45,45,70,65,40,50,40
67,1.864,65,40,65,65,70,45,45,65
68,1.864,46,54,46,60,55,40,50,56
69,1.864,46,38,46,68,37,49,49,56
70,1.864,46,54,49,72,56,42,41,56
71,1.864,38,44,49,44,40,54,53,56
72,1.224,70,45,45,70,65,40,50,40
73,1.224,65,40,65,65,70,45,45,65
74,1.224,46,54,46,60,55,40,50,56
75,1.224,46,38,46,68,37,49,49,56
76,1.224,46,54,49,72,56,42,41,56
77,1.224,38,44,49,44,40,54,53,56
78,1.3760000000000001,70,45,45,70,65,40,50,40
79,1.3760000000000001,65,40,65,65,70,45,45,65
80,1.3760000000000001,46,54,46,60,55,40,50,56
81,1.3760000000000001,46,38,46,68,37,49,49,56
82,1.3760000000000001,46,54,49,72,56,42,41,56
83,1.3760000000000001,38,44,49,44,40,54,53,56
84,1.4160000000000001,70,45,45,70,65,40,50,40
85,1.4160000000000001,65,40,65,65,70,45,45,65
86,1.4160000000000001,46,54,46,60,55,40,50,56
